iter	Passed	Remaining
161	6667	34491
162	6701	34410
163	6730	34307
164	6767	34246
165	6807	34203
166	6848	34159
167	6883	34087
168	6917	34014
169	6973	34044
170	7049	34174
171	7113	34243
172	7182	34334
173	7250	34420
174	7331	34562
175	7412	34704
176	7495	34852
177	7563	34926
178	7627	34983
179	7669	34936
180	7703	34857
181	7733	34758
182	7774	34710
183	7822	34689
184	7903	34816
185	7970	34882
186	8027	34900
187	8092	34950
188	8158	35007
189	8248	35162
190	8313	35212
191	8371	35230
192	8408	35157
193	8450	35109
194	8481	35015
195	8512	34918
196	8544	34828
197	8579	34749
198	8620	34698
199	8654	34618
200	8683	34516
201	8713	34422
202	8763	34405
203	8800	34339
204	8830	34244
205	8861	34154
206	8896	34081
207	8937	34029
208	8970	33949
209	9010	33898
210	9052	33848
211	9086	33772
212	9127	33724
213	9165	33663
214	9195	33574
215	9223	33479
216	9253	33388
217	9283	33302
218	9311	33208
219	9344	33131
220	9374	33042
221	9409	32975
222	9468	32992
223	9504	32927
224	9540	32860
225	9578	32802
226	9619	32755
227	9668	32738
228	9711	32697
229	9759	32673
230	9792	32597
231	9825	32526
232	9862	32465
233	9893	32387
234	9923	32304
235	9957	32235
236	9986	32149
237	10017	32074
238	10049	31999
239	10082	31928
240	10124	31887
241	10158	31818
242	10188	31740
243	10219	31662
244	10249	31586
245	10281	31512
246	10316	31449
247	10346	31373
248	10375	31292
249	10412	31238
250	10449	31183
251	10484	31120
252	10511	31035
253	10541	30959
254	10570	30883
255	10600	30808
256	10632	30739
257	10659	30657
258	10693	30592
259	10725	30527
260	10761	30470
261	10799	30419
262	10833	30359
263	10870	30305
264	10901	30236
265	10945	30203
266	10981	30147
267	11019	30096
268	11061	30058
269	11103	30020
270	11141	29972
271	11175	29910
272	11204	29837
273	11238	29776
274	11268	29707
275	11298	29638
276	11330	29574
277	11364	29514
278	11392	29441
279	11430	29393
280	11466	29338
281	11497	29273
282	11529	29210
283	11564	29155
284	11611	29129
285	11644	29069
286	11677	29009
287	11711	28953
288	11746	28899
289	11790	28867
290	11823	28807
291	11855	28744
292	11889	28688
293	11921	28628
294	11958	28579
295	11991	28521
296	12025	28465
297	12065	28421
298	12094	28356
299	12130	28303
300	12164	28249
301	12198	28194
302	12241	28159
303	12284	28124
304	12320	28073
305	12361	28035
306	12400	27992
307	12438	27946
308	12490	27932
309	12527	27884
310	12562	27832
311	12601	27787
312	12634	27730
313	12668	27678
314	12714	27649
315	12750	27598
316	12784	27545
317	12817	27489
318	12851	27434
319	12885	27382
320	12921	27332
321	12953	27275
322	12987	27221
323	13017	27160
324	13050	27104
325	13080	27043
326	13111	26984
327	13149	26940
328	13179	26879
329	13212	26824
330	13246	26773
331	13283	26727
332	13321	26683
333	13361	26642
334	13401	26602
335	13434	26548
336	13472	26505
337	13505	26450
338	13538	26398
339	13568	26339
340	13601	26284
341	13631	26226
342	13666	26176
343	13698	26123
344	13740	26087
345	13774	26035
346	13801	25971
347	13832	25916
348	13864	25862
349	13895	25805
350	13930	25756
351	13960	25700
352	13995	25651
353	14024	25592
354	14055	25537
355	14088	25486
356	14121	25434
357	14157	25387
358	14186	25330
359	14219	25278
360	14250	25223
361	14279	25166
362	14314	25119
363	14349	25072
364	14388	25031
365	14426	24990
366	14471	24961
367	14508	24917
368	14540	24864
369	14575	24818
370	14612	24774
371	14649	24731
372	14679	24675
373	14707	24618
374	14739	24566
375	14770	24513
376	14803	24463
377	14845	24428
378	14875	24373
379	14903	24316
380	14940	24272
381	14971	24220
382	15005	24173
383	15040	24127
384	15071	24074
385	15112	24039
386	15145	23990
387	15177	23939
388	15213	23896
389	15247	23848
390	15287	23810
391	15318	23759
392	15355	23717
393	15390	23670
394	15428	23631
395	15464	23587
396	15501	23544
397	15531	23491
398	15560	23438
399	15593	23390
400	15629	23346
