iter	RMSE
586	221.6990796
587	221.6976491
588	221.6974024
589	221.6853658
590	221.6816926
591	221.6807655
592	221.6800005
593	221.678629
594	221.6739468
595	221.6636024
596	221.6634936
597	221.5645826
598	221.5629422
599	221.5559148
600	221.4532133
601	221.4528835
602	221.4520527
603	221.4519745
604	221.449021
605	221.4485772
606	221.4481892
607	221.4478483
608	221.4120266
609	221.4068621
610	221.4003124
611	221.3892402
612	221.3854235
613	221.3846005
614	221.381404
615	221.3738029
616	221.367505
617	221.3569135
618	221.3506473
619	221.3495551
620	221.340758
621	221.3396197
622	221.3302532
623	221.3194719
624	221.3129585
625	221.312201
626	221.3116501
627	221.3105566
628	221.2944074
629	221.2872894
630	221.285453
631	221.278679
632	221.2692421
633	221.215827
634	221.2134271
635	221.2002491
636	221.1882615
637	221.1668529
638	221.1656659
639	221.1517429
640	221.1505381
641	221.1493057
642	221.1286579
643	221.1156761
644	221.1151164
645	221.1128923
646	221.1072083
647	221.0641351
648	221.0629381
649	221.0618577
650	221.0606115
651	221.05798
652	221.0573087
653	221.0542969
654	221.0528593
655	220.9314377
656	220.9304296
657	220.928174
658	220.926096
659	220.9233014
660	220.7655776
661	220.7508455
662	220.7467314
663	220.745737
664	220.7447594
665	220.7431434
666	220.7342902
667	220.7320222
668	220.7312235
669	220.7185212
670	220.7148084
671	220.7135794
672	220.7060872
673	220.6984621
674	220.6977703
675	220.6883532
676	220.67657
677	220.6593841
678	220.6504442
679	220.6401489
680	220.6273377
681	220.6262121
682	220.6255593
683	220.6202759
684	220.6190813
685	220.616086
686	220.5961898
687	220.5871153
688	220.5824924
689	220.5760603
690	220.542883
691	220.541431
692	220.5221448
693	220.5143161
694	220.5013328
695	220.4773186
696	220.4482796
697	220.3889409
698	220.3808027
699	220.358926
700	220.3579245
701	220.3506071
702	220.3498004
703	220.3490867
704	220.2781471
705	220.2726412
706	220.2718457
707	220.2244142
708	220.2063217
709	220.1993774
710	220.1983834
711	220.1979413
712	220.1840078
713	220.1831451
714	220.0639298
715	220.0590923
716	220.0449468
717	220.0412117
718	220.0401244
719	220.0377275
720	220.022315
721	220.0215607
722	220.0214765
723	220.0209256
724	220.0170108
725	220.0169326
726	220.0152364
727	220.0151639
728	220.0039054
729	220.0028697
730	219.9960458
731	219.9519766
732	219.6904275
733	219.6385402
734	219.636147
735	219.6348104
736	219.6331687
737	219.6246744
738	219.6238469
739	219.6225412
740	219.6191275
741	219.6190134
742	219.6169508
743	219.616497
744	219.6153645
745	219.6056249
746	219.588121
747	219.5858085
748	219.5422153
749	219.5311529
750	219.5231509
751	219.5007543
752	219.4980226
753	219.4845413
754	219.4798952
755	219.4769834
756	219.4718728
757	219.470077
758	219.4689633
759	219.4636484
760	219.462711
761	219.461257
762	219.455405
763	219.430257
764	219.4252892
765	219.4151021
766	219.4014845
767	219.3966449
768	219.3728404
